address	parent-address	primary-address	street	name	name-cy	point	end-date
10001070694			37316053	ST MICHAELS C OF E VA PRIMARY SCHOOL		[-0.3557239,51.7532445]	
10001115540			40409884	ST PAULS C OF E PRIMARY SCHOOL		[-0.4388123,51.6918615]	
10001115668			40409884	LANGLEYBURY SCHOOL		[-0.4421964,51.6889569]	
10002003664			42406673	BEECHFIELD SCHOOL		[-0.4074482,51.6760729]	
10002004088			42406364	GARSTON INFANT		[-0.3853223,51.6832878]	2010-06-28
10002004256			42404127	COATES WAY JMI AND NURSERY SCHOOL		[-0.3792592,51.6946780]	
10002010096			10303866	GREAT GADDESDEN PRIMARY SCHOOL		[-0.5091434,51.7907878]	
10002010892			10315352	BROCKSWOOD PRIMARY SCHOOL		[-0.4359173,51.7795401]	
10002011297			10301959	11/BOXMOOR HOUSE SCHOOL		[-0.4981772,51.7403111]	
10002011683			10325051	BERKHAMSTED COLLEGIATE SCHOOL		[-0.5609261,51.7595892]	
10002012594			10308081	HEADMASTERS HOUSE		[-0.4770274,51.7496543]	2010-10-26
10002012809			10300195	HOBLETTS MANOR INFANT SCHOOL		[-0.4482564,51.7588787]	
10002013009	100081329639	100081329639	10306633	VILLAGE MONTESSORI SCHOOL		[-0.4801893,51.8071443]	
10002013449			10340098	HALSEY SCHOOL		[-0.4972952,51.7649314]	2008-11-28
10002013521			10315180	CHAULDEN SCHOOL		[-0.4999636,51.7507400]	
100080725605			12413054	30		[0.1561761,51.8536389]	
100080748026			12425371	1/THE ABBOTTS		[0.0078174,51.7926525]	
100080856168			37310106	6		[-0.3275243,51.7533547]	
100080934669			42405845	38C/ST JOHNS PARISH HALL		[-0.3950997,51.6583791]	
100080952992			42420826	49		[-0.3987916,51.6529808]	
100081113627			10312706	MOUNTBATTEN LODGE		[-0.4601338,51.7490987]	
100081128564			27901133	ST CHRISTOPHERS SCHOOL		[-0.2265518,51.9681257]	2013-09-17
100081139519			40408397	ST JOAN OF ARC ROMAN CATHOLIC SCHOOL		[-0.4650589,51.6400608]	
100081142196			40408295	HIGH ELMS MANOR		[-0.3934415,51.7019767]	
100081149600			37304498	ST PETERS SCHOOL		[-0.3350964,51.7464125]	
100081149674			37310432	67A-69		[-0.3334957,51.7489706]	
100081149734			37321176	MARLBOROUGH SCHOOL		[-0.3494868,51.7387024]	
100081149771			37310973	MANDEVILLE PRIMARY SCHOOL		[-0.3403668,51.7369913]	
100081149827			37321184	WATLING VIEW SCHOOL		[-0.3418997,51.7350706]	
100081149988			37307913	104/LORETO COLLEGE		[-0.3294692,51.7528699]	
100081149992			37317980	1-3/ST ALBANS HIGH SCHOOL FOR GIRLS		[-0.3326460,51.7570873]	
100081150520			37314821	FLEETVILLE INFANT SCHOOL		[-0.3122890,51.7527951]	
100081150640			37315064	154/BERNARDS HEATH INFANTS SCHOOL		[-0.3266034,51.7614075]	
100081150685			37305285	SAMUEL RYDER ACADEMY		[-0.3110138,51.7388390]	
100081150932			37321859	WINDERMERE PRIMARY SCHOOL		[-0.3082272,51.7440233]	
100081150976			43001653	BIRCHWOOD NURSERY SCHOOL		[-0.2260080,51.7688076]	
100081151132			43001658	FORMER GASCOYNE CECIL JUNIOR SCHOOL		[-0.2257306,51.7695948]	2009-03-30
100081151347			43012769	ONSLOW ST AUDREYS SCHOOL		[-0.2205058,51.7602176]	
100081151353			43022131	BISHOPS HATFIELD GIRLS SCHOOL		[-0.2262828,51.7588572]	
100081151428			43022131	ST PHILIP HOWARD CATHOLIC PRIMARY SCHOOL		[-0.2253038,51.7575924]	
100081151455			43022131	OAK VIEW PRIMARY AND NURSERY SCHOOL		[-0.2238317,51.7563382]	
100081151456			43018011	DE HAVILLAND PRIMARY SCHOOL		[-0.2277931,51.7487994]	
100081151536			43008031	FORMER HAZEL GROVE JMI SCHOOL		[-0.2380642,51.7458246]	2009-03-30
100081151541			43007283	GREEN LANES PRIMARY SCHOOL		[-0.2342761,51.7760451]	
100081151555			43004211	UNIVERSITY OF HERTFORDSHIRE		[-0.2409521,51.7531337]	
100081151644			37300309	LONDON COLNEY PRIMARY SCHOOL		[-0.2965638,51.7267789]	
100081151645			37300309	LONDON COLNEY NURSERY SCHOOL AND CHILDRENS CENTRE		[-0.2966423,51.7270104]	
100081153022			37309513	ST COLUMBAS COLLEGE		[-0.3486993,51.7438583]	
100081153263			37309513	PRAE WOOD PRIMARY SCHOOL		[-0.3591783,51.7455203]	
100081153457			37303789	COMMUNITY HEALTH OFFICES		[-0.3436873,51.7551035]	
100081153537			37317983	BATCHWOOD SCHOOL		[-0.3398735,51.7650578]	
100081153582			37308112	HEATHLANDS SCHOOL		[-0.3318727,51.7639103]	
100081153583			37305848	ABOYNE LODGE SCHOOL		[-0.3386757,51.7550597]	
100081153684			37315065	ST ALBANS GIRLS SCHOOL		[-0.3319297,51.7702235]	
100081153864			37304761	ST LUKES SCHOOL		[-0.4041093,51.8038492]	
100081153869			37310515	REDBOURN JM SCHOOL		[-0.4031644,51.8006262]	
100081154151			10318087	59/FLAMSTEAD JMI SCHOOL		[-0.4360933,51.8167689]	
100081154238			37304255	NICHOLAS BREAKSPEAR RC SCHOOL		[-0.2887875,51.7474915]	
100081154239			37312668	BEAUMONT SCHOOL		[-0.2991903,51.7551511]	
100081154386			37312668	OAKWOOD PRIMARY SCHOOL		[-0.3000438,51.7571147]	
100081154433			37308338	COLNEY HEATH JMI SCHOOL		[-0.2626209,51.7412085]	
100081154579			37302732	FORMER WHEATHAMPSTEAD EDUCATION CENTRE		[-0.2977804,51.8064938]	2014-09-24
100081154640			37302108	ST HELENS CHURCH OF ENGLAND PRIMARY SCHOOL		[-0.2945714,51.8108085]	
100081154936			37322024	SANDRIDGE SCHOOL		[-0.2958399,51.7806403]	
100081154941			37303394	SKYSWOOD PRIMARY SCHOOL		[-0.3030891,51.7674817]	
100081155001			37304943	THE GROVE JUNIOR SCHOOL		[-0.3376449,51.8083411]	
100081155060			37321550	ALDWICKBURY SCHOOL		[-0.3306260,51.8114339]	
100081155075			37304943	THE GROVE INFANTS AND NURSERY SCHOOL		[-0.3366845,51.8080308]	
100081155357			37310727	53		[-0.3626943,51.8220008]	
100081155430			37314777	ROUNDWOOD PARK SCHOOL		[-0.3726686,51.8202240]	
100081155455			37322282	WOOD END SCHOOL		[-0.3813616,51.8266474]	
100081155505			37310985	SIR JOHN LAWES SCHOOL		[-0.3459395,51.8226745]	
100081155506			37315105	MANLAND PRIMARY SCHOOL		[-0.3478794,51.8235920]	
100081155816			37308745	BATFORD NURSERY SCHOOL		[-0.3372232,51.8264991]	
100081155817			37304580	CRABTREE INFANT SCHOOL		[-0.3409293,51.8156801]	
100081155829			37304580	CRABTREE JUNIOR SCHOOL		[-0.3403624,51.8161037]	
100081155960			12402909	TEWIN COWPER J M I SCHOOL		[-0.1549552,51.8151298]	
100081155961			43007210	OAKLANDS PRIMARY SCHOOL		[-0.1970505,51.8415272]	
100081156257			43010440	15/WELWYN ST MARYS CHURCH OF ENGLAND PRIMARY SCHOOL		[-0.2163673,51.8265892]	
100081156258			43010440	TENTERFIELD NURSERY SCHOOL		[-0.2141957,51.8264573]	
100081156441			43022546	ROWANS PRIMARY SCHOOL		[-0.1825396,51.8125291]	
100081156442			43004935	PANSHANGER PRIMARY SCHOOL		[-0.1824211,51.8021234]	
100081156597			43008195	SIR FREDERIC OSBORN SCHOOL		[-0.1790393,51.8021790]	
100081156989			43021093	WATCHLYTES JMI SCHOOL		[-0.1735703,51.7986052]	
100081157148			43001763	FORMER BLACKTHORN JUNIOR SCHOOL		[-0.1856620,51.7950878]	2009-03-30
100081157149			43001763	FORMER THUMBSWOOD INFANT SCHOOL		[-0.1858946,51.7939854]	2009-03-30
100081157150			43013435	PEARTREE PRIMARY SCHOOL		[-0.1987585,51.7965210]	
100081157153			43008862	HOLWELL PRIMARY SCHOOL		[-0.1947719,51.7939331]	
100081157205			43008862	LUDWICK NURSERY SCHOOL		[-0.1957068,51.7941273]	
100081157316			43012594	FORMER SIR JOHN NEWSOM SCHOOL		[-0.1997921,51.7869422]	2009-03-30
100081157326			43017143	COMMONSWOOD SCHOOL		[-0.1774070,51.7843761]	
100081157514			43010105	STANBOROUGH SCHOOL		[-0.2195943,51.7903639]	
100081157770			43000494	APPLECROFT PRIMARY SCHOOL		[-0.2183267,51.7975204]	
100081157771			43010105	LAKESIDE SCHOOL		[-0.2230577,51.7919000]	
100081158019			43015376	QUEENSWOOD SCHOOL		[-0.1663909,51.7149538]	
100081158037			43015163	ESSENDON CHURCH OF ENGLAND PRIMARY SCHOOL		[-0.1500620,51.7617282]	
100081158089			43015376	THE MYMWOOD LIFE SKILLS CENTRE		[-0.1710751,51.7190554]	
100081158100			43005072	ST MARYS CHURCH OF ENGLAND VA PRIMARY SCHOOL		[-0.2226515,51.7358626]	
100081158137			43013627	CHANCELLORS SCHOOL		[-0.1836247,51.7274331]	
100081158341			43002003	BROOKMANS PARK PRIMARY SCHOOL		[-0.2022784,51.7247978]	
100081158550			12402847	THE LEVENTHORPE SCHOOL		[0.1493717,51.8208416]	
100081158892			12421865	ST MARYS CATHOLIC SCHOOL		[0.1536824,51.8704467]	
100081159200			12404667	NORTHGATE JMI SCHOOL		[0.1495744,51.8759893]	
100081159375			12410441	BISHOPS STORTFORD HIGH SCHOOL		[0.1623639,51.8566996]	
100081159524			12413234	THORLEY HILL JMI SCHOOL		[0.1601951,51.8569014]	
100081159527			12400512	ST MICHAELS PRIMARY SCHOOL		[0.1556913,51.8681078]	
100081159563			12415195	WINDHILL PRIMARY SCHOOL		[0.1515216,51.8659630]	
100081159710			12417799	RICHARD WHITTINGTON JMI SCHOOL		[0.1531730,51.8564366]	
100081159895			12413499	MANOR FIELDS JMI SCHOOL		[0.1410809,51.8599127]	
100081160238			12413367	ALL SAINTS C OF E JUNIOR MIDDLE AND INFANT SCHOOL		[0.1758629,51.8752092]	
100081160240			12417795	THORN GROVE PRIMARY SCHOOL		[0.1736537,51.8643510]	
100081162228			43017755	CUFFLEY SCHOOL		[-0.1122669,51.7037457]	
100081165308			10310402	LOCKERS PARK SCHOOL		[-0.4817566,51.7540199]	
100081165429			10310402	THE COLLETT SCHOOL		[-0.4805778,51.7571969]	
100081165606			10307248	ST ROSES INFANTS SCHOOL		[-0.4928437,51.7473825]	
100081165659			10308809	JOHN F KENNEDY SCHOOL		[-0.4996538,51.7595640]	
100081165735			10308045	PIXIES HILL JMI SCHOOL		[-0.5010341,51.7485124]	
100081165737			10301968	MICKLEM JMI SCHOOL		[-0.4933943,51.7573888]	
100081165738			10301968	MARTINDALE JMI SCHOOL		[-0.4984456,51.7610413]	
100081165765			10321034	THE CAVENDISH SCHOOL		[-0.4831147,51.7575893]	
100081165766			10306656	GALLEY HILL PRIMARY AND NURSERY SCHOOL		[-0.4899639,51.7637921]	
100081177130			10316947	30		[-0.4456052,51.7545363]	
100081177145			10310574	ADEYFIELD SCHOOL		[-0.4489788,51.7533311]	
100081177244			10302264	BROADFIELD INFANTS SCHOOL		[-0.4573365,51.7540578]	
100081177297			10307271	LEVERSTOCK CHURCH OF ENGLAND SCHOOL		[-0.4288862,51.7503484]	
100081177483			10309316	JUPITER COMMUNITY FREE SCHOOL		[-0.4544719,51.7638700]	
100081177678			10300846	AYCLIFFE DRIVE PRIMARY SCHOOL		[-0.4582362,51.7716255]	
100081177818			10315844	ASTLEY COOPER SCHOOL		[-0.4480392,51.7750630]	
100081177882			10315844	MAPLE GROVE SCHOOL		[-0.4497991,51.7750573]	
100081177952			10315844	HAYWOOD GROVE SCHOOL		[-0.4502565,51.7756658]	
100081177953			10315352	HOLTSMERE END JUNIOR SCHOOL		[-0.4417817,51.7772082]	
100081177954			10315352	HOLTSMERE END INFANT AND NURSERY SCHOOL		[-0.4413953,51.7766456]	
100081180867			10311907	TRING SECONDARY MODERN		[-0.6544840,51.7981874]	
100081181096			10306486	BISHOP WOOD CHURCH OF ENGLAND JUNIOR SCHOOL		[-0.6640859,51.7942196]	
100081181097			10307457	GROVE ROAD PRIMARY SCHOOL		[-0.6518752,51.8020240]	
100081181098			10316355	ALDBURY JUNIOR SCHOOL		[-0.6034952,51.8028840]	
100081182459	100081182654		10308428	JUNIOR SCHOOL		[-0.5316838,51.7231278]	
100081182654			10308428	BOVINGDON PRIMARY ACADEMY		[-0.5311066,51.7235163]	
100081182659			10325071	TWO WATERS PRIMARY SCHOOL		[-0.4714973,51.7334838]	
100081182673			10314858	LONGDEAN SCHOOL		[-0.4429137,51.7419790]	
100081182675			10310942	WOODFIELD SCHOOL		[-0.4351496,51.7451806]	
100081182811			10301478	REDDINGS JMI SCHOOL		[-0.4514376,51.7449919]	
100081182812			10308525	CHAMBERSBURY JMI SCHOOL		[-0.4441383,51.7390595]	
100081182844			10313441	HOBBS HILL WOOD PRIMARY SCHOOL		[-0.4430185,51.7438195]	
100081183176			10314309	TUDOR PRIMARY SCHOOL		[-0.4634610,51.7462558]	
100081183177			10312817	BELSWAINS JUNIOR MIXED SCHOOL		[-0.4566365,51.7373900]	2010-01-12
100081183178			10301109	BELSWAINS PRIMARY SCHOOL		[-0.4541913,51.7381671]	
100081183252			10310204	LIME WALK PRIMARY SCHOOL		[-0.4559396,51.7450781]	
100081183443			10303875	LITTLE GADDESDEN JMI SCHOOL		[-0.5605117,51.8113806]	
100081183682			10317140	HARESFOOT SENIOR SCHOOL AMERSFORT		[-0.5371733,51.7665470]	2010-01-12
100081183860			10316757	SWING GATE FIRST SCHOOL AND NURSERY		[-0.5551112,51.7571023]	
100081183930			10309559	BERKHAMSTED COLLEGIATE SCHOOL		[-0.5678283,51.7576358]	
100081183946			10305194	BERKHAMSTED COLLEGIATE PREPARATORY SCHOOL		[-0.5684897,51.7583000]	
100081184158			10305424	EGERTON ROTHESAY SCHOOL		[-0.5887117,51.7617006]	
100081184207			10307360	ST THOMAS MOORE RC JMI SCHOOL		[-0.5802885,51.7590725]	
100081184208			10304758	GREENWAY FIRST AND NURSERY SCHOOL		[-0.5816271,51.7584322]	
100081248005			37814460	LEYS PRIMARY AND NURSERY SCHOOL		[-0.1801991,51.9267371]	
100081248015			37821228	LARWOOD SCHOOL		[-0.1876808,51.9103429]	
100081248109			37811567	MARTINS WOOD PRIMARY SCHOOL		[-0.1715416,51.9195633]	
100081248189			12417954	HILL HOUSE		[0.0715813,51.8505435]	
100081248386			12403799	ALBURY JMI SCHOOL		[0.0845330,51.9026983]	
100081248403			12408075	ST MARYS JMI SCHOOL		[-0.0319564,51.8200144]	
100081248677			12421009	TONWELL JMI SCHOOL		[-0.0659397,51.8372590]	
100081248681			12413264	THE CHAUNCY SCHOOL		[-0.0453528,51.8148964]	
100081248682			12405822	THUNDRIDGE JMI SCHOOL		[-0.0291088,51.8380414]	
100081248691			12412026	MUSLEY INFANTS SCHOOL		[-0.0261914,51.8161410]	
100081248707			12412163	CHRISTCHURCH JMI SCHOOL		[-0.0272532,51.8114289]	
100081248841			12404569	PRIORS WOOD JMI SCHOOL		[-0.0130042,51.8171059]	
100081249262			12408726	PRESDALES SCHOOL		[-0.0308270,51.8029909]	
100081249613			12408726	MIDDLETON SCHOOL		[-0.0321074,51.7995683]	
100081249928			12416193	WHEATCROFT JMI SCHOOL		[-0.0553573,51.7998742]	
100081249929			12405186	THE PINES CENTRE		[-0.0502420,51.8010178]	
100081250007			12421838	MORGANS JUNIOR SCHOOL		[-0.0807620,51.7870188]	
100081250117			43012218	PONSBOURNE ST MARYS SCHOOL		[-0.1171239,51.7289933]	
100081250119			12410982	SIMON BALLE ALL-THROUGH SCHOOL		[-0.0691459,51.7931773]	
100081250122			12400681	BAYFORD J M I SCHOOL		[-0.1054742,51.7585535]	
100081251094			12421307	THE SELE SCHOOL		[-0.1021384,51.7986603]	
100081254211			12408366	117/WALKERN JMI SCHOOL		[-0.1282072,51.9157879]	
100081254530			37801124	BARNWELL BUSINESS AND ENTERPRISE SECONDARY SCHOOL		[-0.1734378,51.8894234]	
100081254531			37815360	BARNWELL MIDDLE SCHOOL		[-0.1788440,51.8900375]	
100081255169			27902849	HIGHOVER JMI SCHOOL		[-0.2547475,51.9590584]	2013-08-16
100081255396			27915465	WYMONDLEY JMI SCHOOL		[-0.2388851,51.9345433]	
100081255397			27900731	GRAVELEY PRIMARY SCHOOL		[-0.2142326,51.9340645]	
100081255398			27900655	ST IPPOLYTS C OF E (AIDED) PRIMARY SCHOOL		[-0.2588993,51.9300928]	
100081255746			27901456	ST PAUL'S WALDEN PRIMARY SCHOOL		[-0.2868592,51.8768408]	
100081255747			27908341	KIMPTON JUNIOR MIDDLE AND INFANT SCHOOL		[-0.2957592,51.8508402]	2013-11-04
100081255748			27911393	CODICOTE C OF E PRIMARY SCHOOL		[-0.2382923,51.8482215]	
100081255789			27908456	HITCHIN GIRLS SCHOOL		[-0.2694108,51.9479445]	2013-08-16
100081256104			27916147	HIGHBURY INFANT SCHOOL AND NURSERY		[-0.2723731,51.9458388]	2013-08-16
100081256105			27921655	WHITEHILL JUNIOR SCHOOL		[-0.2664407,51.9414709]	2014-04-08
100081256237			27907066	HITCHIN BOYS SCHOOL		[-0.2784833,51.9511621]	2013-11-04
100081256773			27922303	YORK ROAD NURSERY SCHOOL		[-0.2782417,51.9548816]	
100081257404			27912491	NORTON ST NICHOLAS C OF E (VA) PRIMARY SCHOOL		[-0.2082174,51.9940402]	
100081257416			27914411	PIXMORE JUNIOR SCHOOL		[-0.2218307,51.9743293]	2013-08-16
100081257857			27914411	HILLSHOTT INFANT SCHOOL		[-0.2196125,51.9786777]	2014-10-03
100081258085			27914121	GARDEN CITY ACADEMY		[-0.2087403,51.9731257]	
100081258086			27913981	WOOLGROVE SCHOOL		[-0.2021036,51.9743770]	
100081258152			27902324	TOWN HALL		[-0.2296779,51.9772825]	
100081258153			27902324	ST FRANCIS COLLEGE		[-0.2328938,51.9731377]	
100081258154			27902324	THE OLD GRAMMAR SCHOOL		[-0.2319607,51.9761283]	2013-07-05
100081258155			27908460	HIGHFIELD SCHOOL		[-0.2419033,51.9688847]	2013-08-16
100081258156			27908460	ST THOMAS MORE CATHOLIC PRIMARY SCHOOL		[-0.2417303,51.9699522]	
100081258636			27901272	WILBURY JUNIOR MIXED SCHOOL		[-0.2404906,51.9821376]	2013-11-04
100081258644			27900532	ICKNIELD INFANT SCHOOL		[-0.2422255,51.9799677]	2013-11-04
100081258786			27909144	CHURCH ON THE WAY		[-0.2236784,51.9835560]	2014-11-27
100081258845			27915718	GRANGE JUNIOR MIXED SCHOOL		[-0.2236353,51.9956895]	2014-10-03
100081258877			27902602	NORTHFIELD INFANTS SCHOOL		[-0.2251863,51.9943695]	2014-01-14
100081258882			27921435	STONEHILL SCHOOL		[-0.2353722,51.9946750]	
100081259517			27921503	KNIGHTS SPORTS CENTRE		[-0.1923691,51.9853636]	2015-01-22
100081259518			27921503	WESTON WAY NURSERY SCHOOL		[-0.1897364,51.9813127]	2013-08-16
100081259519			27916038	ST MARYS JUNIOR AND INFANT SCHOOL		[-0.1929090,51.9802734]	2013-08-16
100081259526			27913281	KNIGHTS TEMPLAR SCHOOL		[-0.1907468,51.9876766]	2013-08-16
100081259860			27916838	TANNERY DRIFT SCHOOL		[-0.0284595,52.0501408]	2014-10-03
100081259861			27902626	ROMAN WAY FIRST SCHOOL		[-0.0242224,52.0595542]	2014-01-14
100081259862			27902626	ROYSIA MIDDLE SCHOOL		[-0.0242297,52.0595543]	2013-08-16
100081259905			27906702	THE GRENEWAY SCHOOL		[-0.0134538,52.0535373]	2013-08-16
100081259906			27906702	MERIDIAN SCHOOL		[-0.0108711,52.0545458]	2013-08-16
100081260003			27913784	ICKNIELD WALK FIRST SCHOOL		[-0.0115547,52.0511232]	2014-10-03
100081260008			27911450	ST MARY'S CATHOLIC PRIMARY SCHOOL		[-0.0205135,52.0515519]	
100081260046			27903800	BARLEY CHURCH OF ENGLAND VC FIRST SCHOOL		[0.0403210,52.0265862]	
100081260160			27909213	REED FIRST SCHOOL		[-0.0157201,52.0089657]	2013-08-16
100081260343			27917078	THERFIELD FIRST SCHOOL		[-0.0545963,52.0180307]	2013-08-16
100081260349			27916489	STUDLANDS RISE FIRST SCHOOL		[-0.0143481,52.0458092]	2014-10-03
100081260449			27914884	SANDON JMI SCHOOL		[-0.0790842,51.9917532]	
100081260469			12412334	EDWINSTREE MIDDLE SCHOOL		[-0.0242425,51.9487986]	
100081260473			12411790	MILLFIELD FIRST SCHOOL		[-0.0216274,51.9440787]	
100081260600			12401945	FREMAN COLLEGE		[-0.0278081,51.9514391]	
100081283739			42405508	OXHEY EARLY YEARS CENTRE		[-0.3963986,51.6420757]	
